Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;28,00;24,00;5,00;25,00;7,00;37,33;6,22;3,11;18,67;3,50;70,00;66,50;19,25;4,67;9,33;46,67;3,11;5,89;8,84;16,21;17,68
2019-01-13;34,00;30,00;6,00;25,00;12,00;48,57;6,48;1,62;17,81;5,37;51,89;66,21;16,11;6,18;9,27;63,36;3,09;45,83;8,87;22,17;19,22
2019-01-20;38,00;24,00;7,00;24,00;10,00;46,26;6,61;3,30;19,83;3,62;56,10;65,14;16,29;9,50;11,08;80,75;1,58;21,92;7,31;21,92;21,92
2019-01-27;36,00;23,00;3,00;16,00;6,00;45,82;4,91;3,27;19,64;1,80;77,40;73,80;10,80;4,70;9,39;75,13;3,13;3,00;54,00;7,50;15,00
2019-02-03;41,00;26,00;4,00;13,00;3,00;47,56;8,20;3,28;26,24;3,57;67,74;76,65;10,70;3,15;4,73;59,92;6,31;5,86;46,86;7,32;11,71
2019-02-10;50,00;31,00;6,00;14,00;5,00;45,16;11,29;1,61;25,81;3,57;66,07;87,50;12,50;4,69;9,38;59,38;7,81;2,94;67,65;10,29;14,71
2019-02-17;48,00;30,00;6,00;17,00;6,00;44,80;12,80;3,20;35,20;10,67;69,33;83,56;14,22;3,10;6,19;68,13;4,65;2,91;56,73;5,82;13,09
2019-02-24;62,00;40,00;8,00;14,00;4,00;52,21;9,79;6,53;27,74;5,31;56,69;81,49;10,63;1,55;3,10;57,35;4,65;5,90;47,24;7,38;11,81
2019-03-03;54,00;36,00;8,00;12,00;3,00;50,73;14,73;4,91;22,91;9,00;46,80;81,00;7,20;3,09;4,63;57,09;7,71;4,50;45,00;7,50;18,00
2019-03-10;46,00;29,00;5,00;17,00;3,00;41,24;14,28;4,76;22,21;3,54;42,46;83,15;8,85;3,07;1,53;47,53;4,60;4,45;47,48;10,39;16,32
2019-03-17;62,00;41,00;5,00;20,00;4,00;53,84;11,42;3,26;24,47;12,40;40,74;83,26;10,63;4,65;6,20;55,80;6,20;4,43;48,71;7,38;14,76
2019-03-24;66,00;37,00;4,00;14,00;6,00;45,07;11,27;4,83;22,54;8,92;46,38;85,62;10,70;3,14;3,14;72,29;7,86;1,47;49,87;8,80;16,13
