Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;77,00;90,28;29,21;21,24;0,50;19,00;14,00;22,00;25,00;9,00;25,00;10,00;2,00;9,00;8,00;2,00;6,00;2,00;11,00;6,00;10,00;1,00;2,00;0,50;2,00;1,00;0,50;1,00;0,50;3,00;0,50;0,50
2019-01-13;73,00;67,59;24,33;21,63;0,50;21,00;14,00;20,00;22,00;8,00;21,00;9,00;3,00;9,00;9,00;2,00;6,00;2,00;9,00;6,00;10,00;1,00;2,00;0,50;3,00;2,00;0,50;1,00;0,50;2,00;0,50;0,50
2019-01-20;73,00;54,75;20,86;20,86;0,50;20,00;13,00;20,00;24,00;7,00;18,00;9,00;2,00;9,00;9,00;1,00;6,00;2,00;9,00;5,00;7,00;1,00;2,00;1,00;3,00;1,00;0,50;1,00;0,50;3,00;0,50;0,50
2019-01-27;73,00;37,85;21,63;18,93;0,50;20,00;12,00;14,00;23,00;8,00;16,00;8,00;2,00;9,00;8,00;1,00;8,00;2,00;8,00;5,00;9,00;1,00;2,00;0,50;3,00;0,50;0,50;0,50;0,50;6,00;0,50;0,50
2019-02-03;66,00;42,24;18,48;15,84;0,50;19,00;13,00;14,00;20,00;8,00;18,00;9,00;2,00;11,00;6,00;1,00;6,00;2,00;7,00;6,00;8,00;2,00;1,00;0,50;3,00;0,50;0,50;1,00;0,50;6,00;0,50;0,50
2019-02-10;63,00;36,75;21,00;15,75;0,50;20,00;12,00;14,00;23,00;7,00;18,00;10,00;1,00;10,00;7,00;1,00;6,00;1,00;7,00;5,00;8,00;2,00;1,00;0,50;3,00;0,50;0,50;1,00;0,50;4,00;0,50;0,50
2019-02-17;67,00;34,84;18,76;16,08;0,50;21,00;15,00;14,00;24,00;10,00;19,00;11,00;2,00;12,00;7,00;1,00;6,00;2,00;7,00;6,00;10,00;1,00;2,00;0,50;2,00;0,50;0,50;0,50;0,50;5,00;0,00;0,50
2019-02-24;75,00;42,86;24,11;18,75;0,50;21,00;14,00;16,00;22,00;9,00;20,00;10,00;2,00;12,00;8,00;1,00;6,00;2,00;7,00;5,00;11,00;2,00;2,00;0,50;2,00;0,50;0,50;1,00;0,50;6,00;0,00;0,50
2019-03-03;72,00;42,67;21,33;18,67;0,50;22,00;14,00;14,00;21,00;8,00;21,00;10,00;2,00;12,00;8,00;1,00;9,00;2,00;8,00;6,00;11,00;1,00;2,00;0,50;2,00;0,50;0,50;0,50;0,50;6,00;0,50;0,00
2019-03-10;68,00;44,46;26,15;18,31;0,50;22,00;14,00;14,00;22,00;9,00;19,00;8,00;3,00;12,00;9,00;1,00;12,00;2,00;9,00;7,00;9,00;1,00;3,00;0,50;2,00;0,50;0,50;1,00;0,50;6,00;0,50;0,50
