Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2021-09-12;40,00;10,00;19,00;9,00;10,00;3,00
2021-09-19;42,00;10,00;21,00;8,00;12,00;2,00
2021-09-26;43,00;10,00;19,00;10,00;13,00;2,00
2021-10-03;46,00;9,00;20,00;8,00;12,00;3,00
2021-10-10;47,00;11,00;23,00;10,00;10,00;4,00
2021-10-17;50,00;10,00;23,00;10,00;11,00;5,00
2021-10-24;47,00;10,00;23,00;9,00;19,00;4,00
2021-10-31;50,00;9,00;23,00;17,00;21,00;4,00
2021-11-07;50,00;12,00;24,00;10,00;18,00;4,00
2021-11-14;48,00;10,00;22,00;8,00;15,00;4,00
2021-11-21;46,00;10,00;22,00;7,00;20,00;4,00
2021-11-28;46,00;9,00;27,00;7,00;11,00;3,00
2021-12-05;46,00;10,00;20,00;7,00;7,00;2,00
2021-12-12;45,00;10,00;17,00;5,00;12,00;3,00
2021-12-19;47,00;11,00;21,00;19,00;15,00;3,00
2021-12-26;66,00;9,00;21,00;11,00;25,00;3,00
2022-01-02;51,00;10,00;24,00;10,00;17,00;4,00
2022-01-09;48,00;9,00;23,00;10,00;14,00;3,00
2022-01-16;49,00;10,00;25,00;11,00;16,00;3,00
2022-01-23;51,00;10,00;26,00;10,00;16,00;2,00
2022-01-30;89,00;10,00;30,00;10,00;14,00;5,00
2022-02-06;49,00;11,00;38,00;11,00;16,00;5,00
2022-02-13;50,00;10,00;42,00;10,00;16,00;4,00
2022-02-20;55,00;10,00;27,00;11,00;16,00;3,00
2022-02-27;42,00;10,00;26,00;11,00;13,00;3,00
2022-03-06;44,00;9,00;24,00;10,00;13,00;3,00
2022-03-13;45,00;12,00;26,00;10,00;14,00;4,00
2022-03-20;46,00;12,00;29,00;11,00;12,00;3,00
2022-03-27;40,00;10,00;27,00;9,00;10,00;3,00
