Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-09-08;28,00;14,00;10,00;8,00;22,00;13,00;12,00;1,00;1,00
2019-09-15;27,00;17,00;9,00;8,00;21,00;12,00;8,00;1,00;0,50
2019-09-22;25,00;17,00;11,00;9,00;15,00;12,00;11,00;1,00;1,00
2019-09-29;27,00;13,00;8,00;8,00;17,00;13,00;8,00;1,00;0,50
2019-10-06;31,00;15,00;10,00;8,00;20,00;12,00;8,00;0,50;0,50
2019-10-13;34,00;15,00;11,00;8,00;18,00;14,00;9,00;1,00;0,50
2019-10-20;30,00;11,00;10,00;7,00;17,00;13,00;12,00;0,50;0,50
2019-10-27;35,00;11,00;9,00;7,00;20,00;15,00;7,00;1,00;0,50
2019-11-03;31,00;15,00;8,00;7,00;12,00;10,00;8,00;1,00;0,50
2019-11-10;26,00;12,00;8,00;7,00;12,00;11,00;7,00;1,00;0,50
2019-11-17;24,00;9,00;11,00;6,00;16,00;9,00;9,00;0,50;0,50
2019-11-24;24,00;7,00;9,00;6,00;15,00;9,00;7,00;0,50;0,50
2019-12-01;23,00;11,00;9,00;5,00;14,00;8,00;4,00;1,00;0,50
2019-12-08;24,00;7,00;12,00;6,00;12,00;7,00;6,00;1,00;0,50
2019-12-15;28,00;14,00;7,00;5,00;10,00;8,00;6,00;1,00;0,50
2019-12-22;25,00;9,00;4,00;5,00;10,00;6,00;8,00;1,00;0,50
2019-12-29;24,00;12,00;6,00;5,00;11,00;8,00;9,00;1,00;0,50
2020-01-05;26,00;10,00;4,00;7,00;13,00;11,00;7,00;0,50;1,00
2020-01-12;29,00;15,00;8,00;7,00;19,00;9,00;10,00;0,50;1,00
2020-01-19;28,00;12,00;9,00;6,00;18,00;11,00;8,00;1,00;1,00
2020-01-26;27,00;9,00;10,00;6,00;13,00;9,00;8,00;0,50;0,50
2020-02-02;31,00;12,00;9,00;7,00;19,00;10,00;10,00;0,50;0,50
2020-02-09;31,00;13,00;9,00;7,00;15,00;9,00;11,00;1,00;1,00
2020-02-16;29,00;13,00;6,00;7,00;15,00;8,00;9,00;0,50;1,00
2020-02-23;23,00;10,00;6,00;7,00;15,00;7,00;9,00;0,50;0,50
2020-03-01;22,00;11,00;5,00;6,00;13,00;7,00;5,00;1,00;1,00
2020-03-08;19,00;9,00;5,00;4,00;7,00;4,00;6,00;0,50;1,00
2020-03-15;6,00;7,00;1,00;2,00;3,00;3,00;1,00;0,50;1,00
2020-03-22;6,00;3,00;3,00;2,00;3,00;2,00;2,00;0,50;0,50
2020-03-29;7,00;2,00;4,00;2,00;1,00;2,00;1,00;0,50;0,50
2020-04-05;13,00;3,00;5,00;2,00;2,00;2,00;1,00;0,50;0,50
2020-04-12;8,00;3,00;4,00;2,00;1,00;3,00;2,00;0,50;0,50
2020-04-19;5,00;4,00;2,00;2,00;3,00;3,00;1,00;0,50;0,50
2020-04-26;6,00;2,00;3,00;2,00;3,00;3,00;2,00;0,50;0,50
2020-05-03;8,00;3,00;3,00;3,00;2,00;3,00;4,00;0,50;0,50
2020-05-10;11,00;2,00;6,00;4,00;3,00;4,00;4,00;0,50;0,50
2020-05-17;13,00;4,00;5,00;4,00;5,00;5,00;5,00;0,50;0,50
2020-05-24;16,00;5,00;6,00;4,00;5,00;7,00;5,00;0,50;0,50
2020-05-31;17,00;5,00;5,00;6,00;8,00;10,00;3,00;0,50;0,50
2020-06-07;19,00;6,00;7,00;5,00;8,00;10,00;6,00;0,50;0,50
2020-06-14;20,00;10,00;5,00;4,00;6,00;13,00;6,00;0,50;1,00
2020-06-21;22,00;8,00;6,00;5,00;11,00;11,00;8,00;0,50;1,00
2020-06-28;24,00;13,00;8,00;4,00;12,00;16,00;6,00;0,50;0,50
2020-07-05;27,00;16,00;8,00;5,00;12,00;18,00;7,00;0,50;0,50
2020-07-12;22,00;12,00;8,00;6,00;12,00;16,00;9,00;0,50;0,50
2020-07-19;21,00;12,00;5,00;6,00;9,00;15,00;8,00;1,00;0,50
2020-07-26;21,00;7,00;9,00;5,00;12,00;15,00;8,00;0,50;0,50
2020-08-02;23,00;12,00;10,00;6,00;12,00;11,00;8,00;0,50;1,00
2020-08-09;25,00;7,00;6,00;5,00;14,00;11,00;4,00;0,50;1,00
2020-08-16;22,00;11,00;8,00;6,00;12,00;11,00;6,00;1,00;0,50
2020-08-23;21,00;9,00;10,00;7,00;14,00;15,00;4,00;0,50;0,50
2020-08-30;22,00;15,00;10,00;7,00;14,00;12,00;7,00;1,00;0,50
2020-09-06;23,00;11,00;12,00;6,00;12,00;10,00;7,00;1,00;1,00
2020-09-13;23,00;16,00;8,00;6,00;12,00;12,00;5,00;0,50;1,00
2020-09-20;20,00;12,00;7,00;6,00;14,00;9,00;7,00;0,50;0,50
2020-09-27;20,00;15,00;7,00;6,00;12,00;7,00;5,00;1,00;0,50
2020-10-04;23,00;14,00;9,00;6,00;13,00;9,00;5,00;0,50;1,00
2020-10-11;19,00;8,00;11,00;5,00;8,00;9,00;5,00;0,50;1,00
2020-10-18;16,00;7,00;6,00;3,00;8,00;8,00;4,00;0,50;1,00
2020-10-25;27,00;7,00;9,00;3,00;11,00;6,00;3,00;0,50;0,50
2020-11-01;6,00;6,00;10,00;2,00;8,00;5,00;4,00;0,50;0,50
2020-11-08;7,00;7,00;7,00;3,00;9,00;5,00;3,00;1,00;1,00
2020-11-15;8,00;6,00;5,00;3,00;6,00;4,00;3,00;1,00;1,00
2020-11-22;9,00;5,00;8,00;3,00;5,00;4,00;4,00;0,50;1,00
2020-11-29;10,00;4,00;11,00;3,00;9,00;5,00;4,00;0,50;0,50
2020-12-06;10,00;5,00;6,00;3,00;5,00;4,00;3,00;0,50;0,50
2020-12-13;11,00;6,00;5,00;2,00;8,00;6,00;2,00;0,50;1,00
2020-12-20;10,00;3,00;1,00;2,00;4,00;3,00;3,00;0,50;0,50
2020-12-27;11,00;5,00;3,00;1,00;6,00;2,00;2,00;0,50;1,00
2021-01-03;13,00;8,00;7,00;2,00;7,00;14,00;3,00;0,50;1,00
2021-01-10;17,00;5,00;7,00;2,00;5,00;19,00;2,00;0,50;1,00
2021-01-17;14,00;7,00;6,00;3,00;5,00;5,00;3,00;0,50;0,50
2021-01-24;12,00;8,00;4,00;2,00;4,00;6,00;3,00;0,50;1,00
2021-01-31;14,00;7,00;8,00;5,00;7,00;7,00;4,00;0,50;1,00
2021-02-07;18,00;7,00;11,00;3,00;6,00;8,00;3,00;0,50;1,00
2021-02-14;19,00;9,00;8,00;3,00;7,00;8,00;6,00;0,50;0,50
2021-02-21;38,00;9,00;10,00;4,00;8,00;6,00;5,00;0,50;0,50
2021-02-28;52,00;6,00;7,00;3,00;10,00;7,00;6,00;0,50;0,50
2021-03-07;36,00;7,00;9,00;4,00;9,00;26,00;4,00;0,50;1,00
2021-03-14;35,00;9,00;13,00;3,00;11,00;9,00;5,00;0,50;0,50
2021-03-21;23,00;5,00;9,00;3,00;8,00;5,00;9,00;0,50;1,00
2021-03-28;100,00;9,00;14,00;2,00;9,00;5,00;4,00;0,50;1,00
2021-04-04;21,00;9,00;12,00;3,00;10,00;7,00;4,00;0,50;1,00
2021-04-11;11,00;10,00;8,00;3,00;8,00;8,00;7,00;0,50;1,00
2021-04-18;18,00;7,00;7,00;4,00;10,00;7,00;7,00;0,50;1,00
2021-04-25;22,00;8,00;5,00;4,00;9,00;9,00;4,00;0,00;1,00
2021-05-02;30,00;9,00;14,00;3,00;11,00;9,00;8,00;0,00;1,00
2021-05-09;29,00;9,00;7,00;4,00;15,00;12,00;5,00;0,50;1,00
2021-05-16;26,00;10,00;10,00;3,00;16,00;14,00;6,00;0,50;1,00
2021-05-23;24,00;9,00;8,00;4,00;17,00;11,00;3,00;0,50;0,50
2021-05-30;26,00;8,00;5,00;4,00;18,00;12,00;6,00;0,50;1,00
2021-06-06;22,00;9,00;8,00;6,00;17,00;13,00;2,00;0,00;1,00
2021-06-13;19,00;8,00;11,00;4,00;21,00;15,00;6,00;0,00;1,00
2021-06-20;20,00;10,00;7,00;5,00;15,00;13,00;5,00;0,50;1,00
2021-06-27;21,00;6,00;5,00;6,00;15,00;13,00;7,00;0,50;1,00
2021-07-04;20,00;9,00;8,00;5,00;15,00;12,00;6,00;0,50;1,00
2021-07-11;19,00;10,00;9,00;5,00;15,00;18,00;6,00;0,50;1,00
2021-07-18;19,00;8,00;8,00;8,00;16,00;11,00;5,00;0,00;1,00
2021-07-25;20,00;11,00;9,00;4,00;17,00;10,00;9,00;0,50;1,00
2021-08-01;19,00;10,00;7,00;6,00;16,00;12,00;8,00;0,50;1,00
2021-08-08;21,00;10,00;7,00;6,00;16,00;10,00;9,00;0,50;1,00
2021-08-15;23,00;10,00;6,00;6,00;18,00;12,00;8,00;0,50;1,00
2021-08-22;21,00;10,00;11,00;7,00;15,00;13,00;9,00;0,50;1,00
2021-08-29;23,00;11,00;6,00;7,00;17,00;16,00;7,00;0,50;1,00
2021-09-05;27,00;10,00;9,00;7,00;20,00;10,00;10,00;0,50;1,00
2021-09-12;26,00;8,00;9,00;6,00;17,00;13,00;8,00;0,50;1,00
2021-09-19;27,00;11,00;6,00;6,00;17,00;10,00;8,00;0,50;1,00
2021-09-26;27,00;14,00;8,00;7,00;17,00;13,00;9,00;0,50;1,00
2021-10-03;24,00;12,00;6,00;7,00;14,00;10,00;5,00;0,50;1,00
2021-10-10;28,00;12,00;4,00;8,00;14,00;11,00;9,00;0,50;1,00
