Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-10-06;54,00;43,00;64,00;49,00;75,00;50,63;40,50;69,19;35,44
2019-10-13;55,00;47,00;51,00;48,00;71,00;53,33;40,00;63,33;33,33
2019-10-20;59,00;50,00;53,00;48,00;61,00;50,57;42,14;62,37;35,40
2019-10-27;59,00;51,00;54,00;48,00;62,00;48,89;42,14;55,63;32,03
2019-11-03;54,00;53,00;60,00;47,00;63,00;48,94;42,19;59,06;37,13
2019-11-10;51,00;52,00;52,00;43,00;58,00;52,70;39,10;56,10;35,70
2019-11-17;50,00;47,00;51,00;42,00;61,00;50,00;38,33;50,00;35,00
2019-11-24;50,00;44,00;50,00;39,00;59,00;48,33;35,00;48,33;36,67
2019-12-01;45,00;44,00;50,00;38,00;59,00;46,67;38,33;45,00;38,33
2019-12-08;45,00;47,00;53,00;38,00;57,00;46,67;36,67;45,00;35,00
2019-12-15;50,00;46,00;53,00;40,00;53,00;46,67;36,67;53,33;38,33
2019-12-22;59,00;53,00;63,00;52,00;60,00;55,63;45,51;59,00;42,14
2019-12-29;70,00;59,00;73,00;73,00;68,00;60,00;55,00;83,33;46,67
2020-01-05;81,00;64,00;71,00;81,00;73,00;62,44;60,75;89,44;48,94
2020-01-12;81,00;64,00;75,00;74,00;79,00;65,81;60,75;87,75;50,63
2020-01-19;76,00;56,00;67,00;72,00;68,00;60,80;55,73;81,07;47,29
2020-01-26;74,00;57,00;64,00;57,00;73,00;55,50;52,14;82,41;43,73
2020-02-02;72,00;55,00;63,00;53,00;70,00;50,23;48,56;78,70;41,86
2020-02-09;76,00;52,00;56,00;47,00;69,00;52,36;45,60;86,13;43,91
2020-02-16;83,00;54,00;59,00;48,00;70,00;50,82;47,43;76,22;45,73
2020-02-23;72,00;51,00;58,00;49,00;64,00;53,58;45,21;102,14;55,26
2020-03-01;64,00;45,00;57,00;43,00;61,00;50,53;38,74;94,32;57,26
2020-03-08;72,00;66,00;72,00;80,00;67,00;25,12;56,93;167,44;90,42
2020-03-15;30,00;33,00;39,00;53,00;32,00;18,33;41,67;110,00;58,33
2020-03-22;22,00;22,00;25,00;24,00;23,00;15,23;23,69;32,15;27,08
2020-03-29;28,00;23,00;22,00;25,00;22,00;15,75;19,25;28,00;26,25
2020-04-05;23,00;21,00;23,00;26,00;25,00;14,79;14,79;29,57;23,00
2020-04-12;21,00;22,00;29,00;32,00;24,00;19,25;21,00;28,00;24,50
2020-04-19;20,00;24,00;28,00;28,00;24,00;18,33;20,00;28,33;23,33
2020-04-26;20,00;23,00;30,00;34,00;28,00;20,00;21,67;28,33;23,33
2020-05-03;21,00;24,00;33,00;31,00;36,00;21,00;26,25;31,50;29,75
2020-05-10;21,00;25,00;35,00;33,00;35,00;21,00;29,08;33,92;27,46
2020-05-17;24,00;30,00;35,00;36,00;37,00;25,71;25,71;39,43;34,29
2020-05-24;27,00;31,00;46,00;35,00;44,00;27,00;30,38;37,13;33,75
2020-05-31;33,00;46,00;53,00;39,00;44,00;38,21;41,68;41,68;33,00
2020-06-07;35,00;46,00;49,00;43,00;45,00;36,67;36,67;40,00;38,33
2020-06-14;40,00;43,00;53,00;38,00;46,00;41,67;35,00;46,67;40,00
2020-06-21;41,00;44,00;50,00;37,00;43,00;44,42;37,58;63,21;47,83
2020-06-28;43,00;51,00;57,00;39,00;48,00;51,60;43,00;79,12;49,88
2020-07-05;42,00;51,00;50,00;39,00;42,00;48,72;36,96;68,88;45,36
2020-07-12;39,00;44,00;50,00;39,00;44,00;47,48;39,00;67,83;45,78
2020-07-19;40,00;44,00;51,00;37,00;43,00;46,67;35,00;75,00;45,00
2020-07-26;41,00;50,00;46,00;36,00;51,00;51,25;34,17;85,42;44,42
2020-08-02;42,00;45,00;47,00;35,00;53,00;52,08;31,92;72,24;43,68
2020-08-09;42,00;42,00;44,00;35,00;48,00;47,04;31,92;78,96;42,00
2020-08-16;39,00;48,00;45,00;34,00;44,00;39,00;30,52;76,30;39,00
2020-08-23;36,00;48,00;41,00;33,00;42,00;31,09;29,45;63,82;34,36
2020-08-30;35,00;42,00;42,00;32,00;41,00;30,00;26,67;66,67;38,33
2020-09-06;34,00;38,00;48,00;31,00;37,00;30,60;25,50;62,90;37,40
2020-09-13;32,00;38,00;44,00;29,00;36,00;26,95;26,95;58,95;35,37
2020-09-20;31,00;35,00;45,00;29,00;33,00;22,84;26,11;55,47;34,26
2020-09-27;29,00;30,00;40,00;28,00;33,00;22,18;23,88;58,00;37,53
2020-10-04;30,00;30,00;45,00;32,00;34,00;23,33;23,33;56,67;38,33
2020-10-11;31,00;31,00;34,00;28,00;32,00;20,67;24,11;60,28;41,33
2020-10-18;28,00;28,00;32,00;23,00;30,00;16,47;18,12;54,35;39,53
2020-10-25;24,00;23,00;30,00;23,00;34,00;14,40;19,20;46,40;33,60
2020-11-01;18,00;23,00;28,00;16,00;24,00;13,09;18,00;39,27;29,45
2020-11-08;20,00;25,00;29,00;17,00;29,00;15,00;16,67;35,00;41,67
2020-11-15;23,00;23,00;27,00;16,00;32,00;14,79;16,43;34,50;47,64
2020-11-22;29,00;27,00;32,00;18,00;29,00;18,76;18,76;52,88;39,24
2020-11-29;27,00;28,00;33,00;18,00;33,00;18,56;18,56;47,25;40,50
2020-12-06;30,00;29,00;33,00;18,00;37,00;20,00;20,00;48,33;36,67
2020-12-13;33,00;30,00;34,00;20,00;36,00;18,15;23,10;61,05;36,30
2020-12-20;32,00;31,00;37,00;20,00;33,00;18,53;21,89;80,84;35,37
2020-12-27;36,00;30,00;32,00;21,00;33,00;20,57;20,57;49,71;39,43
2021-01-03;37,00;32,00;34,00;22,00;31,00;20,18;20,18;52,14;38,68
2021-01-10;35,00;27,00;31,00;19,00;29,00;18,33;20,00;40,00;41,67
2021-01-17;35,00;35,00;33,00;19,00;26,00;20,00;18,33;35,00;40,00
2021-01-24;29,00;29,00;36,00;20,00;27,00;17,06;18,76;37,53;42,65
2021-01-31;28,00;24,00;37,00;19,00;30,00;19,76;16,47;29,65;39,53
2021-02-07;28,00;23,00;37,00;18,00;30,00;19,76;16,47;32,94;41,18
2021-02-14;31,00;27,00;37,00;21,00;34,00;18,94;20,67;32,72;44,78
2021-02-21;33,00;29,00;42,00;21,00;39,00;20,84;20,84;48,63;45,16
2021-02-28;32,00;33,00;42,00;22,00;38,00;18,53;21,89;38,74;48,84
2021-03-07;36,00;29,00;47,00;24,00;38,00;18,86;22,29;41,14;49,71
2021-03-14;33,00;27,00;45,00;23,00;42,00;20,84;22,58;43,42;52,11
2021-03-21;33,00;27,00;48,00;23,00;41,00;21,45;21,45;51,15;47,85
2021-03-28;28,00;27,00;44,00;19,00;38,00;26,35;19,76;39,53;51,06
2021-04-04;27,00;27,00;45,00;22,00;37,00;27,00;23,63;47,25;50,63
2021-04-11;29,00;45,00;48,00;22,00;39,00;29,00;23,88;42,65;49,47
2021-04-18;35,00;43,00;48,00;25,00;42,00;31,67;25,00;51,67;56,67
2021-04-25;39,00;43,00;47,00;28,00;43,00;32,22;28,83;47,48;50,87
2021-05-02;44,00;48,00;58,00;34,00;49,00;37,23;32,15;93,08;52,46
2021-05-09;48,00;53,00;63,00;40,00;57,00;39,43;46,29;73,71;53,14
2021-05-16;53,00;59,00;63,00;43,00;64,00;47,87;41,03;78,65;54,71
2021-05-23;53,00;59,00;65,00;46,00;65,00;49,58;42,74;70,10;58,13
2021-05-30;58,00;80,00;75,00;46,00;70,00;56,29;46,06;93,82;56,29
2021-06-06;64,00;84,00;74,00;50,00;78,00;55,58;53,89;72,42;58,95
2021-06-13;64,00;84,00;70,00;45,00;78,00;58,95;57,26;77,47;58,95
2021-06-20;65,00;94,00;81,00;47,00;84,00;60,00;58,33;103,33;56,67
2021-06-27;62,00;93,00;88,00;48,00;92,00;60,32;68,70;88,81;55,30
2021-07-04;68,00;100,00;93,00;50,00;88,00;62,90;74,80;110,50;56,10
2021-07-11;67,00;91,00;86,00;46,00;94,00;58,63;90,45;118,93;56,95
2021-07-18;62,00;83,00;84,00;45,00;90,00;65,35;80,43;112,27;56,97
2021-07-25;67,00;81,00;74,00;46,00;91,00;58,63;77,05;118,93;53,60
2021-08-01;61,00;78,00;69,00;44,00;92,00;59,31;64,39;142,33;52,53
2021-08-08;55,00;64,00;66,00;44,00;87,00;58,33;60,00;105,00;51,67
2021-08-15;51,00;59,00;59,00;42,00;80,00;54,40;54,40;103,70;49,30
2021-08-22;49,00;57,00;62,00;41,00;82,00;47,31;50,69;152,07;49,00
2021-08-29;48,00;59,00;59,00;42,00;70,00;46,29;46,29;101,14;54,86
2021-09-05;46,00;52,00;60,00;40,00;70,00;40,89;47,70;93,70;47,70
2021-09-12;47,00;49,00;59,00;40,00;71,00;36,93;47,00;141,00;43,64
2021-09-19;48,00;50,00;64,00;41,00;62,00;36,00;48,00;104,57;42,86
2021-09-26;46,00;50,00;60,00;38,00;64,00;39,19;42,59;86,89;42,59
2021-10-03;45,00;47,00;62,00;42,00;67,00;38,33;45,00;106,67;41,67
2021-10-10;49,00;45,00;63,00;41,00;66,00;38,86;52,38;91,24;43,93
2021-10-17;49,00;49,00;57,00;39,00;61,00;37,17;45,62;81,10;40,55
2021-10-24;47,00;50,00;49,00;34,00;59,00;38,61;36,93;70,50;40,29
2021-10-31;47,00;51,00;49,00;35,00;62,00;40,29;38,61;65,46;41,96
2021-11-07;46,00;48,00;51,00;31,00;62,00;36,14;34,50;65,71;41,07
2021-11-14;44,00;44,00;45,00;30,00;59,00;38,92;37,23;64,31;40,62
2021-11-21;41,00;39,00;41,00;26,00;57,00;34,44;32,80;72,16;42,64
2021-11-28;42,00;50,00;57,00;26,00;65,00;36,96;40,32;115,92;52,08
2021-12-05;40,00;46,00;50,00;28,00;60,00;35,00;36,67;91,67;45,00
2021-12-12;44,00;55,00;54,00;33,00;63,00;42,31;47,38;108,31;45,69
2021-12-19;45,00;50,00;50,00;36,00;52,00;38,33;51,67;78,33;45,00
2021-12-26;51,00;58,00;55,00;42,00;60,00;44,20;49,30;76,50;47,60
2022-01-02;53,00;60,00;53,00;44,00;69,00;41,03;54,71;106,00;47,87
2022-01-09;49,00;61,00;53,00;41,00;62,00;33,79;49,00;106,45;43,93
2022-01-16;53,00;62,00;51,00;40,00;65,00;34,19;49,58;90,61;44,45
2022-01-23;57,00;65,00;59,00;42,00;70,00;38,56;50,29;97,24;43,59
2022-01-30;59,00;61,00;64,00;45,00;72,00;40,46;52,26;97,77;45,51
2022-02-06;63,00;62,00;65,00;47,00;73,00;43,11;49,74;102,79;44,76
2022-02-13;66,00;62,00;68,00;48,00;70,00;49,08;57,54;93,08;44,00
2022-02-20;62,00;61,00;62,00;43,00;72,00;48,59;48,59;85,46;46,92
2022-02-27;53,00;54,00;56,00;36,00;65,00;42,74;42,74;85,48;47,87
2022-03-06;56,00;56,00;62,00;39,00;62,00;44,12;45,82;84,85;49,21
2022-03-13;59,00;54,00;56,00;38,00;66,00;45,51;45,51;97,77;47,20
2022-03-20;57,00;52,00;66,00;39,00;70,00;50,29;43,59;90,53;45,26
2022-03-27;55,00;59,00;62,00;40,00;70,00;53,33;41,67;90,00;43,33
2022-04-03;60,00;59,00;65,00;43,00;75,00;58,29;49,71;102,86;46,29
2022-04-10;57,00;53,00;72,00;44,00;78,00;57,00;46,94;88,85;43,59
2022-04-17;63,00;52,00;66,00;44,00;77,00;63,00;51,08;93,65;44,27
2022-04-24;60,00;54,00;68,00;40,00;76,00;60,00;51,67;91,67;41,67
2022-05-01;60,00;52,00;61,00;42,00;76,00;63,33;48,33;90,00;41,67
2022-05-08;61,00;54,00;67,00;43,00;78,00;64,39;49,14;91,50;44,06
2022-05-15;60,00;55,00;63,00;42,00;83,00;66,86;44,57;89,14;46,29
2022-05-22;59,00;54,00;69,00;47,00;79,00;64,06;48,89;91,03;43,83
2022-05-29;56,00;57,00;62,00;46,00;83,00;69,58;47,52;84,85;45,82
