Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;58,00;19,00;80,00;74,00;3,00;100,44;5,66;19,80;15,56
2019-01-13;57,00;22,00;63,00;74,00;3,00;92,63;2,85;18,53;15,68
2019-01-20;48,00;15,00;71,00;64,00;3,00;82,91;4,36;17,45;13,09
2019-01-27;30,00;11,00;53,00;65,00;4,00;75,71;2,86;15,71;11,43
2019-02-03;23,00;10,00;39,00;50,00;2,00;73,31;4,31;14,38;11,50
2019-02-10;22,00;10,00;35,00;60,00;3,00;71,87;2,93;14,67;13,20
2019-02-17;25,00;12,00;44,00;52,00;3,00;72,06;2,94;23,53;14,71
2019-02-24;33,00;9,00;43,00;51,00;2,00;77,48;2,87;21,52;11,48
2019-03-03;26,00;8,00;41,00;52,00;2,00;73,67;4,33;17,33;23,11
2019-03-10;28,00;6,00;41,00;48,00;3,00;66,32;2,95;13,26;13,26
2019-03-17;26,00;12,00;35,00;53,00;4,00;79,44;5,78;24,56;15,89
2019-03-24;29,00;14,00;34,00;48,00;4,00;108,75;7,25;36,25;40,60
2019-03-31;36,00;13,00;32,00;39,00;3,00;60,48;2,88;14,40;11,52
2019-04-07;40,00;16,00;49,00;41,00;2,00;62,86;2,86;14,29;10,00
2019-04-14;41,00;16,00;51,00;39,00;3,00;57,97;2,83;14,14;9,90
2019-04-21;42,00;16,00;48,00;44,00;3,00;81,10;2,90;17,38;10,14
2019-04-28;40,00;18,00;57,00;48,00;4,00;78,57;2,86;15,71;17,14
2019-05-05;40,00;12,00;46,00;50,00;3,00;74,29;4,29;15,71;11,43
2019-05-12;36,00;12,00;42,00;46,00;2,00;67,68;2,88;20,16;11,52
2019-05-19;35,00;15,00;44,00;47,00;3,00;70,00;2,92;20,42;10,21
2019-05-26;35,00;13,00;50,00;47,00;4,00;70,00;4,20;19,60;9,80
2019-06-02;49,00;24,00;44,00;46,00;5,00;144,12;7,21;53,32;25,94
2019-06-09;40,00;15,00;47,00;54,00;4,00;87,14;7,14;24,29;11,43
2019-06-16;41,00;16,00;52,00;55,00;4,00;97,55;2,83;21,21;11,31
2019-06-23;38,00;22,00;39,00;47,00;3,00;98,52;2,81;19,70;12,67
2019-06-30;38,00;14,00;46,00;56,00;3,00;103,77;5,85;19,00;11,69
2019-07-07;56,00;25,00;59,00;66,00;5,00;123,49;7,18;34,46;35,90
2019-07-14;54,00;19,00;56,00;58,00;5,00;103,74;5,68;21,32;14,21
2019-07-21;45,00;20,00;45,00;57,00;6,00;114,68;7,26;23,23;20,32
2019-07-28;50,00;24,00;56,00;55,00;5,00;118,57;4,29;31,43;14,29
2019-08-04;56,00;18,00;56,00;63,00;6,00;124,92;4,31;22,97;11,49
2019-08-11;51,00;16,00;57,00;68,00;6,00;132,60;5,83;20,40;11,66
2019-08-18;46,00;20,00;50,00;58,00;5,00;119,31;4,31;23,00;11,50
2019-08-25;49,00;13,00;48,00;61,00;5,00;106,65;5,76;24,50;11,53
2019-09-01;41,00;17,00;42,00;59,00;6,00;91,90;2,83;22,62;12,72
2019-09-08;37,00;18,00;61,00;54,00;4,00;85,38;4,27;21,35;9,96
2019-09-15;39,00;13,00;47,00;58,00;4,00;79,44;2,89;20,22;10,11
2019-09-22;37,00;16,00;47,00;56,00;5,00;71,15;2,85;19,92;9,96
2019-09-29;35,00;13,00;56,00;54,00;6,00;68,60;4,20;16,80;9,80
2019-10-06;32,00;13,00;37,00;54,00;4,00;64,00;4,17;18,09;11,13
2019-10-13;34,00;15,00;44,00;52,00;4,00;65,17;4,25;14,17;9,92
2019-10-20;32,00;14,00;45,00;53,00;4,00;61,09;2,91;17,45;10,18
2019-10-27;35,00;14,00;38,00;52,00;4,00;56,88;4,38;16,04;11,67
2019-11-03;33,00;14,00;47,00;51,00;5,00;53,09;4,30;14,35;8,61
2019-11-10;31,00;13,00;36,00;50,00;4,00;50,73;2,82;12,68;8,45
2019-11-17;29,00;16,00;36,00;47,00;4,00;52,20;2,90;13,05;11,60
2019-11-24;28,00;11,00;28,00;42,00;4,00;46,20;4,20;9,80;11,20
2019-12-01;25,00;11,00;40,00;44,00;3,00;40,28;4,17;9,72;9,72
2019-12-08;27,00;11,00;33,00;39,00;2,00;42,63;2,84;14,21;11,37
2019-12-15;27,00;11,00;31,00;45,00;3,00;45,47;4,26;19,89;21,32
2019-12-22;35,00;12,00;34,00;73,00;4,00;63,00;2,80;21,00;19,60
2019-12-29;47,00;13,00;60,00;89,00;4,00;76,91;5,70;21,36;15,67
2020-01-05;61,00;15,00;57,00;80,00;3,00;75,19;2,84;19,86;15,60
2020-01-12;45,00;16,00;49,00;74,00;3,00;75,94;2,81;18,28;16,88
2020-01-19;43,00;17,00;53,00;67,00;3,00;75,97;2,87;18,63;18,63
2020-01-26;47,00;17,00;47,00;63,00;3,00;82,61;2,85;25,64;24,21
2020-02-02;41,00;14,00;44,00;57,00;4,00;59,38;5,66;31,10;29,69
2020-02-09;39,00;17,00;36,00;57,00;3,00;53,44;5,78;28,89;30,33
2020-02-16;39,00;19,00;45,00;49,00;3,00;52,00;4,33;27,44;24,56
2020-02-23;36,00;16,00;35,00;47,00;3,00;47,52;4,32;30,24;24,48
