Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;12,00;21,00;11,00;8,00;5,00;4,80;74,40;7,20;7,20
2019-01-13;13,00;19,00;11,00;8,00;6,00;4,33;67,17;6,50;6,50
2019-01-20;13,00;20,00;12,00;8,00;6,00;4,33;56,33;6,50;6,50
2019-01-27;19,00;20,00;16,00;9,00;8,00;11,88;57,00;7,13;7,13
2019-02-03;21,00;17,00;13,00;9,00;11,00;9,33;49,00;7,00;7,00
2019-02-10;22,00;22,00;17,00;10,00;10,00;11,00;46,20;6,60;6,60
2019-02-17;25,00;20,00;20,00;10,00;11,00;13,64;47,73;6,82;6,82
2019-02-24;25,00;21,00;18,00;10,00;13,00;13,64;50,00;6,82;6,82
2019-03-03;24,00;20,00;18,00;11,00;12,00;13,09;43,64;6,55;8,73
2019-03-10;24,00;16,00;17,00;10,00;15,00;13,09;45,82;6,55;8,73
2019-03-17;24,00;21,00;22,00;11,00;17,00;13,09;39,27;6,55;8,73
2019-03-24;28,00;25,00;27,00;10,00;16,00;15,08;47,38;6,46;10,77
2019-03-31;21,00;30,00;16,00;9,00;14,00;8,40;58,80;8,40;10,50
2019-04-07;19,00;28,00;21,00;10,00;14,00;6,33;65,44;10,56;10,56
2019-04-14;21,00;34,00;28,00;12,00;19,00;8,40;84,00;12,60;10,50
2019-04-21;21,00;25,00;22,00;11,00;14,00;11,67;95,67;11,67;11,67
2019-04-28;20,00;30,00;17,00;10,00;15,00;8,89;82,22;8,89;11,11
2019-05-05;21,00;23,00;19,00;10,00;13,00;9,33;81,67;11,67;11,67
2019-05-12;19,00;28,00;17,00;10,00;17,00;6,33;82,33;10,56;12,67
2019-05-19;19,00;24,00;19,00;11,00;16,00;10,56;82,33;12,67;16,89
2019-05-26;29,00;43,00;35,00;14,00;18,00;11,15;129,38;15,62;17,85
2019-06-02;28,00;41,00;33,00;16,00;23,00;15,08;107,69;12,92;17,23
2019-06-09;25,00;36,00;28,00;17,00;25,00;18,18;100,00;11,36;18,18
2019-06-16;27,00;39,00;28,00;16,00;28,00;20,25;114,75;11,25;20,25
2019-06-23;34,00;58,00;28,00;16,00;32,00;20,40;120,13;15,87;20,40
2019-06-30;35,00;64,00;37,00;16,00;35,00;19,69;137,81;15,31;19,69
2019-07-07;42,00;68,00;48,00;17,00;36,00;19,89;156,95;17,68;19,89
2019-07-14;45,00;76,00;56,00;19,00;42,00;22,50;195,75;18,00;20,25
2019-07-21;48,00;75,00;46,00;19,00;39,00;21,82;192,00;17,45;19,64
2019-07-28;55,00;68,00;55,00;19,00;43,00;24,20;178,20;17,60;17,60
2019-08-04;56,00;58,00;34,00;18,00;46,00;31,36;165,76;17,92;17,92
2019-08-11;47,00;49,00;29,00;17,00;47,00;29,10;125,33;15,67;15,67
2019-08-18;42,00;52,00;30,00;16,00;34,00;17,68;126,00;17,68;13,26
2019-08-25;24,00;40,00;21,00;13,00;25,00;13,09;89,45;13,09;13,09
2019-09-01;17,00;21,00;21,00;11,00;18,00;10,63;59,50;8,50;10,63
2019-09-08;16,00;18,00;14,00;11,00;11,00;9,14;59,43;6,86;9,14
2019-09-15;13,00;21,00;19,00;9,00;9,00;6,50;49,83;8,67;8,67
2019-09-22;9,00;11,00;15,00;8,00;7,00;4,50;38,25;6,75;9,00
2019-09-29;6,00;12,00;15,00;8,00;7,00;4,00;30,00;4,00;8,00
2019-10-06;6,00;12,00;10,00;6,00;9,00;2,00;28,00;4,00;8,00
2019-10-13;6,00;14,00;7,00;7,00;5,00;2,00;34,00;4,00;6,00
2019-10-20;6,00;14,00;10,00;5,00;5,00;2,00;34,00;4,00;6,00
2019-10-27;6,00;13,00;6,00;5,00;8,00;2,00;28,00;4,00;4,00
2019-11-03;5,00;11,00;7,00;5,00;5,00;2,50;40,00;5,00;5,00
2019-11-10;5,00;15,00;6,00;4,00;4,00;2,50;37,50;2,50;5,00
2019-11-17;5,00;11,00;5,00;4,00;4,00;2,50;35,00;2,50;5,00
2019-11-24;6,00;9,00;5,00;4,00;5,00;2,00;24,00;2,00;4,00
2019-12-01;5,00;12,00;5,00;4,00;7,00;2,50;27,50;2,50;2,50
2019-12-08;4,00;9,00;6,00;4,00;4,00;2,00;34,00;2,00;2,00
2019-12-15;4,00;9,00;5,00;4,00;4,00;2,00;26,00;2,00;2,00
2019-12-22;7,00;13,00;9,00;7,00;5,00;4,67;49,00;4,67;4,67
2019-12-29;9,00;19,00;10,00;8,00;7,00;4,50;65,25;9,00;6,75
2020-01-05;12,00;23,00;9,00;9,00;6,00;4,80;72,00;7,20;7,20
2020-01-12;15,00;20,00;14,00;8,00;7,00;4,29;72,86;8,57;6,43
2020-01-19;14,00;23,00;10,00;8,00;9,00;7,00;79,33;7,00;7,00
2020-01-26;15,00;18,00;11,00;8,00;8,00;4,29;57,86;6,43;6,43
2020-02-02;13,00;19,00;9,00;8,00;8,00;4,33;54,17;6,50;6,50
2020-02-09;13,00;15,00;9,00;7,00;9,00;4,33;52,00;6,50;6,50
2020-02-16;18,00;19,00;11,00;7,00;11,00;6,75;56,25;6,75;6,75
2020-02-23;15,00;14,00;10,00;5,00;11,00;4,29;42,86;6,43;6,43
2020-03-01;13,00;17,00;10,00;6,00;9,00;4,33;41,17;4,33;6,50
2020-03-08;10,00;13,00;9,00;5,00;7,00;2,00;34,00;4,00;6,00
2020-03-15;4,00;8,00;8,00;4,00;2,00;2,00;24,00;2,00;6,00
2020-03-22;4,00;6,00;6,00;4,00;2,00;1,00;40,00;2,00;4,00
2020-03-29;5,00;8,00;11,00;3,00;2,00;1,25;42,50;2,50;5,00
2020-04-05;6,00;8,00;11,00;4,00;3,00;2,00;26,00;2,00;4,00
2020-04-12;7,00;12,00;12,00;4,00;3,00;2,33;37,33;2,33;4,67
2020-04-19;7,00;11,00;15,00;4,00;3,00;2,33;53,67;2,33;7,00
2020-04-26;6,00;15,00;20,00;5,00;3,00;2,00;64,00;2,00;8,00
2020-05-03;5,00;12,00;17,00;9,00;4,00;2,50;115,00;2,50;12,50
2020-05-10;9,00;13,00;21,00;11,00;5,00;4,50;101,25;4,50;13,50
